3 41
0.0d0 21.07d0 0.0d0
76.0d0 21.07d0 0.0d0
136.0d0 21.11d0 0.0d0
256.0d0 20.96d0 0.0d0
316.0d0 20.62d0 0.0d0
436.0d0 19.64d0 0.0d0
496.0d0 19.08d0 0.0d0
616.0d0 17.91d0 0.0d0
736.0d0 16.73d0 0.0d0
856.0d0 15.84d0 0.0d0
916.0d0 15.69d0 0.0d0
1036.0d0 15.59d0 0.0d0
1156.0d0 15.52d0 0.0d0
1276.0d0 15.49d0 0.0d0
1336.0d0 15.46d0 0.0d0
1456.0d0 15.45d0 0.0d0
1576.0d0 15.45d0 0.0d0
1696.0d0 15.45d0 0.0d0
2056.0d0 15.43d0 0.0d0
2416.0d0 15.45d0 0.0d0
2716.0d0 15.45d0 0.0d0
3076.0d0 15.48d0 0.0d0
4036.0d0 15.49d0 0.0d0
4996.0d0 15.49d0 0.0d0
5956.0d0 15.48d0 0.0d0
6922.0d0 15.47d0 0.0d0
7702.0d0 15.48d0 0.0d0
8482.0d0 15.46d0 0.0d0
9202.0d0 15.46d0 0.0d0
9982.0d0 15.48d0 0.0d0
10702.0d0 15.48d0 0.0d0
11482.0d0 15.55d0 0.0d0
12202.0d0 15.63d0 0.0d0
12982.0d0 15.57d0 0.0d0
14199.0d0 15.51d0 0.0d0
15459.0d0 15.53d0 0.0d0
16719.0d0 15.55d0 0.0d0
17979.0d0 15.54d0 0.0d0
19965.0d0 15.54d0 0.0d0
21945.0d0 15.53d0 0.0d0
23985.0d0 15.53d0 0.0d0
